Customer Reference,Club Name,Date Created,Order Quantity,Shipped Quantity,Unshipped Quantity,Shipping Date,Sales Order Header Status
587981,Rush National Soccer,2025-01-02,1,1,0,2025-01-27,SHIPPED
587989,Rush Missouri,2025-01-06,4,4,0,2025-01-31,SHIPPED
587991,Rush National Soccer,2025-01-06,3,3,0,2025-01-15,SHIPPED
587994,Rush National Soccer,2025-01-06,1,1,0,2025-01-14,SHIPPED
587997,Rush National Soccer,2025-01-08,3,3,0,2025-01-20,SHIPPED
588001,Rush National Soccer,2025-01-09,1,1,0,2025-01-21,SHIPPED
588003,Rush Vsa,2025-01-10,5,5,0,2025-01-16,SHIPPED
588004,Rush Pennsylvania,2025-01-10,1,1,0,2025-01-20,SHIPPED
588006,Rush Pennsylvania,2025-01-11,4,4,0,2025-01-20,SHIPPED
588019,Rush National Soccer,2025-01-17,2,2,0,2025-01-24,SHIPPED
588021,Rush San Jose,2025-01-19,1,1,0,2025-01-23,SHIPPED
588027,Rush Coaches,2025-01-20,1,1,0,2025-03-10,SHIPPED
588028,Rush San Jose,2025-01-22,4,4,0,2025-01-30,SHIPPED
588029,Rush National Soccer,2025-01-24,2,2,0,2025-02-28,SHIPPED
588030,Rush National Soccer,2025-01-22,1,1,0,2025-01-27,SHIPPED
588042,Rush San Jose,2025-01-31,6,6,0,2025-02-25,SHIPPED
588061,Rush Michigan Dearborn Heights,2025-01-30,1,1,0,2025-02-04,SHIPPED
588062,Rush National Soccer,2025-02-03,1,1,0,2025-02-07,SHIPPED
588078,Rush National Soccer,2025-02-03,2,2,0,2025-02-10,SHIPPED
588081,Rush Coaches,2025-02-04,4,4,0,2025-03-04,SHIPPED
588088,Rush National Soccer,2025-02-06,1,1,0,2025-02-20,SHIPPED
588094,Rush National Soccer,2025-02-08,4,4,0,2025-02-19,SHIPPED
588096,Rush Vsa,2025-02-07,3,3,0,2025-02-14,SHIPPED
588097,Rush Missouri,2025-02-07,3,3,0,2025-02-19,SHIPPED
588115,Rush National Soccer,2025-02-08,2,2,0,2025-02-20,SHIPPED
588117,Rush National Soccer,2025-02-09,2,2,0,2025-02-13,SHIPPED
588127,Rush San Jose,2025-02-11,1,1,0,2025-02-19,SHIPPED
588139,Rush Coaches,2025-02-13,4,4,0,2025-03-26,SHIPPED
588143,Rush Twin Cities,2025-02-17,2,2,0,2025-02-25,SHIPPED
588148,Rush Chicago West,2025-02-16,2,2,0,2025-02-25,SHIPPED
588158,Rush National Soccer,2025-02-18,1,1,0,2025-02-21,SHIPPED
588165,Rush Iowa,2025-02-18,2,2,0,2025-02-25,SHIPPED
588180,Rush Colorado,2025-02-20,2,2,0,2025-03-05,SHIPPED
588194,Rush National Soccer,2025-02-23,1,1,0,2025-02-28,SHIPPED
588204,Rush Twin Cities,2025-02-25,3,3,0,2025-03-19,SHIPPED
588205,Rush San Jose,2025-03-01,2,2,0,2025-03-07,SHIPPED
588210,Rush Vsa,2025-02-28,7,7,0,2025-03-07,SHIPPED
588212,Rush Virginia,2025-02-27,1,1,0,2025-03-27,SHIPPED
588218,Rush Missouri,2025-02-28,2,2,0,2025-03-26,SHIPPED
588226,Rush Ct East Shoreline,2025-03-02,1,1,0,2025-03-06,SHIPPED
588233,Rush Twin Cities,2025-03-03,1,1,0,2025-03-05,SHIPPED
588237,Rush Canada,2025-03-06,1,1,0,2025-03-19,SHIPPED
588242,Rush Coaches,2025-03-07,3,3,0,2025-04-15,SHIPPED
588250,Rush Virginia,2025-03-09,1,1,0,2025-03-13,SHIPPED
588264,Rush Ct East Shoreline,2025-03-11,1,1,0,2025-03-14,SHIPPED
588265,Rush National Soccer,2025-03-12,1,1,0,2025-03-17,SHIPPED
588271,Rush Wisconsin West,2025-03-14,3,3,0,2025-03-25,SHIPPED
588272,Rush Minnesota,2025-03-14,2,2,0,2025-03-27,SHIPPED
588274,Rush Chicago Oswego,2025-03-15,2,2,0,2025-03-28,SHIPPED
588281,Rush Twin Cities,2025-03-20,3,3,0,2025-03-26,SHIPPED
588284,Rush Wisconsin South East,2025-03-21,1,1,0,2025-03-28,SHIPPED
588286,Rush Idaho,2025-03-22,1,1,0,2025-04-07,SHIPPED
588293,Rush Alaska,2025-03-25,1,1,0,2025-03-31,SHIPPED
588298,Rush Twin Cities,2025-03-29,2,2,0,2025-04-01,SHIPPED
588303,Rush United Fc,2025-03-31,2,2,0,2025-04-07,SHIPPED
588309,Rush Missouri,2025-04-02,1,1,0,2025-04-07,SHIPPED
588332,Rush Vsa,2025-04-08,1,1,0,2025-04-14,SHIPPED
588336,Rush Hawaii,2025-04-09,1,1,0,2025-04-14,SHIPPED
588337,Rush Maryland,2025-04-09,2,2,0,2025-04-14,SHIPPED
588338,Rush Canada,2025-04-11,5,4,1,2025-05-18,OPEN
588341,Rush Canada,2025-04-12,1,1,0,2025-05-18,SHIPPED
588342,Rush Pennsylvania,2025-04-12,1,1,0,2025-04-21,SHIPPED
588344,Rush Virginia,2025-04-12,2,2,0,2025-04-16,SHIPPED
588345,Rush Virginia,2025-04-12,5,5,0,2025-04-16,SHIPPED
588349,Rush Chicago South,2025-04-12,4,4,0,2025-04-21,SHIPPED
588353,Rush Canada,2025-04-16,2,2,0,2025-04-30,SHIPPED
588354,Rush Hawaii,2025-04-16,1,1,0,2025-04-21,SHIPPED
588355,Rush Missouri,2025-04-16,1,1,0,2025-04-22,SHIPPED
588357,Rush Canada,2025-04-17,1,1,0,2025-04-30,SHIPPED
588361,Rush Pennsylvania,2025-04-18,4,4,0,2025-04-28,SHIPPED
588364,Rush Coaches,2025-04-22,1,1,0,2025-05-05,SHIPPED
588371,Rush Pennsylvania,2025-04-26,1,1,0,2025-04-29,SHIPPED
588372,Rush Pennsylvania,2025-04-26,2,2,0,2025-05-27,SHIPPED
588378,Rush Minnesota,2025-04-30,1,1,0,2025-05-05,SHIPPED
588380,Rush Twin Cities,2025-05-03,2,2,0,2025-05-08,SHIPPED
588381,Rush Chicago West,2025-05-04,1,1,0,2025-05-13,SHIPPED
588383,Rush Ny Select,2025-05-04,3,3,0,2025-05-08,SHIPPED
588384,Rush Colorado,2025-05-04,3,3,0,2025-05-07,SHIPPED
588385,Rush Coaches,2025-05-04,2,2,0,2025-05-13,SHIPPED
588388,Rush Gateway,2025-05-07,2,2,0,2025-05-09,SHIPPED
588389,Rush Wisconsin West,2025-05-10,1,1,0,2025-05-16,SHIPPED
588392,Rush Pennsylvania,2025-05-11,1,0,1,,OPEN
588394,Rush Colorado,2025-05-12,2,2,0,2025-05-16,SHIPPED
588395,Rush Pennsylvania,2025-05-08,3,3,0,2025-05-19,SHIPPED
588401,Rush National Soccer,2025-05-10,2,2,0,2025-05-14,SHIPPED
588405,Rush Hawaii,2025-05-13,1,1,0,2025-05-20,SHIPPED
588412,Rush Minnesota,2025-05-18,1,1,0,2025-05-21,SHIPPED
588413,Rush Colorado,2025-05-18,1,1,0,2025-05-22,SHIPPED
588414,Rush National Soccer,2025-05-18,4,4,0,2025-06-06,SHIPPED
588416,Rush Canada,2025-05-21,2,0,2,,OPEN
588417,Rush Pennsylvania,2025-05-21,2,0,2,,OPEN
588418,Rush National Soccer,2025-05-21,4,0,4,,OPEN
588423,Rush National Soccer,2025-05-25,3,3,0,2025-06-02,SHIPPED
588429,Rush Coaches,2025-05-26,9,0,9,,OPEN
588430,Rush Chicago West,2025-05-26,1,0,1,,OPEN
588432,Rush National Soccer,2025-05-28,3,3,0,2025-06-05,SHIPPED
588433,Rush Canada,2025-05-29,3,0,3,,OPEN
588436,Rush Coaches,2025-06-02,10,0,10,,OPEN
588437,Rush National Soccer,2025-06-04,3,0,3,,OPEN
588438,Rush National Soccer,2025-06-04,1,0,1,,OPEN
588442,Rush National Soccer,2025-06-07,2,0,2,,OPEN
1341277,Rush Kentucky,2025-01-01,8,8,0,2025-01-07,SHIPPED
1341286,Rush Emerald Coast United,2025-01-01,11,11,0,2025-01-09,SHIPPED
1341289,Rush Southwest Missouri,2025-01-01,6,6,0,2025-01-07,SHIPPED
1341294,Rush Tennessee Lobos,2025-01-01,4,4,0,2025-01-07,SHIPPED
1341307,Rush Northern Colorado,2025-01-01,7,7,0,2025-01-10,SHIPPED
1341315,Rush Minnesota,2025-01-01,6,6,0,2025-01-07,SHIPPED
1341325,Rush Colorado,2025-01-01,6,6,0,2025-01-07,SHIPPED
1341328,Rush Southern Maryland,2025-01-01,4,4,0,2025-01-10,SHIPPED
1341336,Rush Missouri,2025-01-01,6,6,0,2025-01-08,SHIPPED
1341345,Rush Iowa,2025-01-02,4,4,0,2025-01-10,SHIPPED
1341347,Rush Chicago South,2025-01-02,11,11,0,2025-01-15,SHIPPED
1341349,Rush Florida,2025-01-02,5,5,0,2025-01-08,SHIPPED
1341352,Rush Mississippi,2025-01-02,1,1,0,2025-01-07,SHIPPED
1341373,Rush Southwest Virginia,2025-01-02,3,3,0,2025-01-07,SHIPPED
1341383,Rush Tennessee Lobos,2025-01-02,6,6,0,2025-01-08,SHIPPED
1341394,Rush Gateway,2025-01-02,1,1,0,2025-01-07,SHIPPED
1341403,Rush Colorado,2025-01-02,7,7,0,2025-01-08,SHIPPED
1341433,Rush Wisconsin West,2025-01-02,6,6,0,2025-01-08,SHIPPED
1341454,Rush Mississippi,2025-01-02,3,3,0,2025-01-07,SHIPPED
1341458,Rush Coastal Perdido,2025-01-02,7,7,0,2025-01-07,SHIPPED
1341474,Rush United Fc,2025-01-02,3,3,0,2025-01-07,SHIPPED
1341478,Rush Tennessee Lobos,2025-01-02,6,6,0,2025-01-07,SHIPPED
1341484,Rush Twin Cities,2025-01-02,1,1,0,2025-01-09,SHIPPED
1341485,Rush Columbia Missouri,2025-01-02,7,7,0,2025-01-16,SHIPPED
1341488,Rush Fort Lauderdale,2025-01-02,10,10,0,2025-01-07,SHIPPED
1341493,Rush Iowa,2025-01-02,5,5,0,2025-01-09,SHIPPED
1341499,Rush Coastal Bayside,2025-01-02,8,8,0,2025-01-24,SHIPPED
1341505,Rush Mississippi,2025-01-02,1,1,0,2025-01-07,SHIPPED
1341517,Rush Minnesota,2025-01-02,7,7,0,2025-01-07,SHIPPED
1341523,Rush Coastal Bayside,2025-01-02,11,11,0,2025-01-08,SHIPPED
1341526,Rush Calico Hawks,2025-01-02,4,4,0,2025-01-08,SHIPPED
1341528,Rush Union Georgia,2025-01-02,11,11,0,2025-01-08,SHIPPED
1341530,Rush Southern Maryland,2025-01-02,4,4,0,2025-01-08,SHIPPED
1341537,Rush Pensacola Fc,2025-01-02,4,4,0,2025-01-16,SHIPPED
1341539,Rush Ny Albany,2025-01-02,1,1,0,2025-01-08,SHIPPED
1341551,Rush Florida,2025-01-07,4,4,0,2025-01-13,SHIPPED
