order_id,Club Name,First Order Date,Latest Ship Date,Total Products Ordered
469874,Rush Coastal Perdido,2023-01-05,2023-01-20,1
469876,Rush Pensacola Fc,2023-01-05,2023-01-23,8
469882,Rush San Jose,2023-01-05,2023-01-18,4
469887,Rush Missouri,2023-01-05,2023-01-18,10
469913,Rush Ct East Shoreline,2023-01-06,2023-01-16,2
469932,Rush Hawaii,2023-01-06,2023-01-16,4
469936,Rush Ct West Stateline,2023-01-06,2023-01-12,10
469939,Rush Ct East Shoreline,2023-01-06,2023-01-12,5
469940,Rush Florida,2023-01-06,2023-01-18,3
469957,Rush Idaho,2023-01-06,2023-01-12,6
469966,Rush Mississippi,2023-01-06,2023-01-18,8
469991,Rush Florida,2023-01-06,2023-01-12,3
469995,Rush Chicago South,2023-01-06,2023-01-16,2
469997,Rush Virginia,2023-01-06,2023-01-23,6
469998,Rush Coaches,2023-01-06,2023-01-12,1
470011,Rush Atletico Nv,2023-01-06,2023-01-12,1
470031,Rush Florida,2023-01-06,2023-01-12,6
470042,Rush Tennessee Lobos,2023-01-06,2023-01-12,4
470048,Rush Bluffton,2023-01-06,2023-01-12,3
470079,Rush Minnesota,2023-01-06,2023-01-23,3
470081,Rush Pensacola Fc,2023-01-06,2023-01-18,5
470085,Rush Tennessee Lobos,2023-01-06,2023-01-12,4
470086,Rush Missouri,2023-01-06,2023-01-12,1
470087,Rush Minnesota,2023-01-06,2023-01-23,3
470088,Rush Coastal Perdido,2023-01-06,2023-02-22,5
470100,Rush Ct West Stateline,2023-01-07,2023-02-13,5
470103,Rush Coastal Bayside,2023-01-07,2023-01-25,6
470106,Rush Union Georgia,2023-01-07,2023-01-23,5
470115,Rush Twin Cities,2023-01-07,2023-01-12,2
470123,Rush Massachusetts,2023-01-07,2023-01-12,2
470124,Rush Ct West Stateline,2023-01-07,2023-01-12,6
470127,Rush Minnesota,2023-01-07,2023-01-23,4
470142,Rush Minnesota,2023-01-07,2023-01-23,3
470153,Rush Colorado,2023-01-07,2023-01-17,2
470159,Rush Idaho,2023-01-07,2023-01-12,2
470160,Rush Minnesota,2023-01-07,2023-01-23,3
470166,Rush Fremont,2023-01-07,2023-01-16,6
470168,Rush Fremont,2023-01-07,2023-01-12,3
470169,Rush Fremont,2023-01-07,2023-01-12,3
470172,Rush Minnesota,2023-01-07,2023-01-18,5
470176,Rush Ct West Stateline,2023-01-07,2023-01-12,4
470184,Rush Bluffton,2023-01-07,2023-01-12,4
470192,Rush Minnesota,2023-01-07,2023-01-23,5
470196,Rush Ny Buffalo,2023-01-07,2023-01-17,9
470205,Rush Pensacola Fc,2023-01-07,2023-01-31,2
470208,Rush Michigan Downriver,2023-01-07,2023-01-20,7
470210,Rush Ny Rochester,2023-01-07,2023-01-26,8
470219,Rush United Fc,2023-01-07,2023-01-12,7
470220,Rush Minnesota,2023-01-07,2023-01-23,3
470221,Rush Flatirons,2023-01-07,2023-01-23,5
470225,Rush Wisconsin,2023-01-07,2023-01-26,9
470229,Rush Ct East Shoreline,2023-01-07,2023-01-17,2
470235,Rush Union Georgia,2023-01-07,2023-01-11,4
470237,Rush Chicago South,2023-01-07,2023-01-12,11
470248,Rush Fremont,2023-01-07,2023-01-12,4
470263,Rush Fremont,2023-01-07,2023-01-12,3
470273,Rush Ct West Central,2023-01-07,2023-01-18,8
470275,Rush Minnesota,2023-01-07,2023-01-12,1
470278,Rush United Fc,2023-01-08,2023-04-26,3
470279,Rush Minnesota,2023-01-08,2023-01-23,9
470280,Rush Fremont,2023-01-08,2023-01-12,3
470281,Rush Minnesota,2023-01-08,2023-01-23,9
470287,Rush Tennessee Lobos,2023-01-08,2023-01-12,2
470291,Rush Fremont,2023-01-08,2023-01-16,3
470293,Rush Minnesota,2023-01-08,2023-01-23,3
470302,Rush Kansas,2023-01-08,2023-02-22,11
