Customer Reference,Club Name,Date Created,Order Quantity,Shipped Quantity,Unshipped Quantity,Shipping Date,Sales Order Header Status
567309,Rush National Soccer,2024-01-03,3,3,0,2024-01-08,SHIPPED
567586,Rush Coaches,2024-01-06,1,1,0,2024-01-17,SHIPPED
567631,Rush Coaches,2024-01-06,2,2,0,2024-01-17,SHIPPED
567812,Rush Psd,2024-01-09,1,1,0,2024-01-22,SHIPPED
567965,Rush Vsa,2024-01-10,5,5,0,2024-02-13,SHIPPED
568147,Rush Virginia,2024-01-12,1,1,0,2024-01-30,SHIPPED
568174,Rush National Soccer,2024-01-14,4,4,0,2024-01-23,SHIPPED
568324,Rush National Soccer,2024-01-15,2,2,0,2024-01-24,SHIPPED
568623,Rush Coaches,2024-01-17,1,1,0,2024-01-29,SHIPPED
568668,Rush National Soccer,2024-01-17,1,1,0,2024-01-22,SHIPPED
568972,Rush Ny Albany,2024-01-22,1,1,0,2024-02-13,SHIPPED
569143,Rush National Soccer,2024-01-23,3,3,0,2024-02-02,SHIPPED
569503,Rush National Soccer,2024-01-29,1,1,0,2024-02-05,SHIPPED
569671,Rush Wisconsin,2024-01-29,2,2,0,2024-02-12,SHIPPED
569699,Rush Coaches,2024-01-29,13,13,0,2024-02-19,SHIPPED
569857,Rush Coastal Perdido,2024-01-30,4,4,0,2024-02-12,SHIPPED
570054,Rush National Soccer,2024-01-31,4,4,0,2024-02-13,SHIPPED
570108,Rush New England,2024-01-31,2,2,0,2024-02-12,SHIPPED
570314,Rush National Soccer,2024-02-01,2,2,0,2024-02-19,SHIPPED
570317,Rush National Soccer,2024-02-01,2,2,0,2024-02-13,SHIPPED
570364,Rush National Soccer,2024-02-01,1,1,0,2024-02-13,SHIPPED
570507,Rush National Soccer,2024-02-02,10,10,0,2024-02-15,SHIPPED
570525,Rush Bluffton,2024-02-02,2,2,0,2024-02-14,SHIPPED
570580,Rush Vsa,2024-02-04,2,2,0,2024-02-21,SHIPPED
570614,Rush Coaches,2024-02-05,20,20,0,2024-02-14,SHIPPED
570615,Rush Vsa,2024-02-05,5,5,0,2024-02-15,SHIPPED
570787,Rush Vsa,2024-02-05,1,1,0,2024-02-13,SHIPPED
570797,Rush National Soccer,2024-02-05,2,2,0,2024-02-13,SHIPPED
570873,Rush Ny Select,2024-02-05,3,3,0,2024-02-14,SHIPPED
570878,Rush Ny Syracuse,2024-02-05,3,3,0,2024-02-13,SHIPPED
570989,Rush Washington,2024-02-06,2,2,0,2024-02-15,SHIPPED
571050,Rush National Soccer,2024-02-07,9,9,0,2024-02-15,SHIPPED
571167,Rush Vsa,2024-02-13,2,2,0,2024-02-27,SHIPPED
571251,Rush Coaches,2024-02-09,1,1,0,2024-02-20,SHIPPED
571294,Rush Virginia,2024-02-09,4,4,0,2024-02-22,SHIPPED
571408,Rush National Soccer,2024-02-12,1,1,0,2024-02-27,SHIPPED
571433,Rush Iowa,2024-02-12,1,1,0,2024-02-20,SHIPPED
571452,Rush Coaches,2024-02-13,1,1,0,2024-02-22,SHIPPED
571492,Rush National Soccer,2024-02-12,1,1,0,2024-02-21,SHIPPED
571509,Rush National Soccer,2024-02-12,3,3,0,2024-02-21,SHIPPED
571547,Rush Coaches,2024-02-12,1,1,0,2024-02-19,SHIPPED
571706,Rush National Soccer,2024-02-13,2,2,0,2024-02-19,SHIPPED
571770,Rush Hawaii,2024-02-13,2,2,0,2024-02-23,SHIPPED
571934,Rush Mississippi,2024-02-14,1,1,0,2024-02-22,SHIPPED
571951,Rush National Soccer,2024-02-16,3,3,0,2024-02-27,SHIPPED
572021,Rush Idaho,2024-02-15,1,1,0,2024-02-26,SHIPPED
572023,Rush National Soccer,2024-02-15,1,1,0,2024-02-26,SHIPPED
572025,Rush Phoenix,2024-02-15,3,3,0,2024-02-26,SHIPPED
572378,Rush Colorado,2024-02-19,2,2,0,2024-02-23,SHIPPED
572435,Rush Florida,2024-02-19,1,1,0,2024-02-22,SHIPPED
572642,Rush Coaches,2024-02-20,3,3,0,2024-02-27,SHIPPED
572756,Rush Kansas Wichita,2024-02-21,2,2,0,2024-03-14,SHIPPED
572900,Rush Twin Cities,2024-02-22,2,2,0,2024-02-27,SHIPPED
572922,Rush Pennsylvania,2024-02-22,1,1,0,2024-02-28,SHIPPED
573021,Rush Coaches,2024-02-23,1,1,0,2024-02-28,SHIPPED
573500,Rush National Soccer,2024-02-26,1,1,0,2024-03-04,SHIPPED
573626,Rush National Soccer,2024-02-27,2,2,0,2024-03-07,SHIPPED
574196,Rush National Soccer,2024-03-01,2,2,0,2024-03-05,SHIPPED
574272,Rush National Soccer,2024-03-04,11,11,0,2024-03-08,SHIPPED
574284,Rush National Soccer,2024-03-04,3,3,0,2024-03-07,SHIPPED
574302,Rush Vsa,2024-03-04,3,3,0,2024-03-07,SHIPPED
