Customer Reference,Club Name,Date Created,Order Quantity,Shipped Quantity,Unshipped Quantity,Shipping Date,Sales Order Header Status
567309,Rush National Soccer,2024-01-03,3,111,0,2024-01-08,SHIPPED
567586,Rush Coaches,2024-01-06,1,1,0,2024-01-17,SHIPPED
567631,Rush Coaches,2024-01-06,2,2,0,2024-01-17,SHIPPED
567812,Rush Psd,2024-01-09,1,1,0,2024-01-22,SHIPPED
567965,Rush Vsa,2024-01-10,5,23,0,2024-02-13,SHIPPED
568147,Rush Virginia,2024-01-12,1,1,0,2024-01-30,SHIPPED
568174,Rush National Soccer,2024-01-14,4,1111,0,2024-01-23,SHIPPED
568324,Rush National Soccer,2024-01-15,2,11,0,2024-01-24,SHIPPED
568623,Rush Coaches,2024-01-17,1,1,0,2024-01-29,SHIPPED
568668,Rush National Soccer,2024-01-17,1,1,0,2024-01-22,SHIPPED
568972,Rush Ny Albany,2024-01-22,1,1,0,2024-02-13,SHIPPED
569143,Rush National Soccer,2024-01-23,3,111,0,2024-02-02,SHIPPED
569503,Rush National Soccer,2024-01-29,1,1,0,2024-02-05,SHIPPED
569671,Rush Wisconsin,2024-01-29,2,11,0,2024-02-12,SHIPPED
569699,Rush Coaches,2024-01-29,13,24511,0,2024-02-19,SHIPPED
569857,Rush Coastal Perdido,2024-01-30,4,1111,0,2024-02-12,SHIPPED
570054,Rush National Soccer,2024-01-31,4,1111,0,2024-02-13,SHIPPED
570108,Rush New England,2024-01-31,2,11,0,2024-02-12,SHIPPED
570314,Rush National Soccer,2024-02-01,2,11,0,2024-02-19,SHIPPED
570317,Rush National Soccer,2024-02-01,2,11,0,2024-02-13,SHIPPED
570364,Rush National Soccer,2024-02-01,1,1,0,2024-02-13,SHIPPED
570507,Rush National Soccer,2024-02-02,10,10,0,2024-02-15,SHIPPED
570525,Rush Bluffton,2024-02-02,2,2,0,2024-02-14,SHIPPED
570580,Rush Vsa,2024-02-04,2,11,0,2024-02-21,SHIPPED
570614,Rush Coaches,2024-02-05,20,686,0,2024-02-14,SHIPPED
