Customer Reference,Club Name,Date Created,Order Quantity,Shipped Quantity,Unshipped Quantity,Shipping Date,Sales Order Header Status
567309,Rush National Soccer,2024-01-03,3,111,---,2024-01-08,SHIPPED
567586,Rush Coaches,2024-01-06,1,1,-,2024-01-17,SHIPPED
567631,Rush Coaches,2024-01-06,2,2,-,2024-01-17,SHIPPED
567812,Rush Psd,2024-01-09,1,1,-,2024-01-22,SHIPPED
567965,Rush Vsa,2024-01-10,5,23,--,2024-02-13,SHIPPED
568147,Rush Virginia,2024-01-12,1,1,-,2024-01-30,SHIPPED
568174,Rush National Soccer,2024-01-14,4,1111,----,2024-01-23,SHIPPED
568324,Rush National Soccer,2024-01-15,2,11,--,2024-01-24,SHIPPED
568623,Rush Coaches,2024-01-17,1,1,-,2024-01-29,SHIPPED
568668,Rush National Soccer,2024-01-17,1,1,-,2024-01-22,SHIPPED
568972,Rush Ny Albany,2024-01-22,1,1,-,2024-02-13,SHIPPED
569143,Rush National Soccer,2024-01-23,3,111,---,2024-02-02,SHIPPED
569503,Rush National Soccer,2024-01-29,1,1,-,2024-02-05,SHIPPED
569671,Rush Wisconsin,2024-01-29,2,11,--,2024-02-12,SHIPPED
569699,Rush Coaches,2024-01-29,13,24511,-----,2024-02-19,SHIPPED
569857,Rush Coastal Perdido,2024-01-30,4,1111,----,2024-02-12,SHIPPED
570054,Rush National Soccer,2024-01-31,4,1111,----,2024-02-13,SHIPPED
570108,Rush New England,2024-01-31,2,11,--,2024-02-12,SHIPPED
570314,Rush National Soccer,2024-02-01,2,11,--,2024-02-19,SHIPPED
570317,Rush National Soccer,2024-02-01,2,11,--,2024-02-13,SHIPPED
570364,Rush National Soccer,2024-02-01,1,1,-,2024-02-13,SHIPPED
570507,Rush Bluffton,2024-02-02,10,10,-,2024-02-15,SHIPPED
570525,Rush Vsa,2024-02-02,2,2,-,2024-02-14,SHIPPED
570580,Rush Coaches,2024-02-04,2,11,--,2024-02-21,SHIPPED
570614,Rush Vsa,2024-02-05,20,686,---,2024-02-14,SHIPPED
570615,Rush Vsa,2024-02-05,5,11111,-----,2024-02-15,SHIPPED
570787,Rush National Soccer,2024-02-05,1,1,-,2024-02-13,SHIPPED
570797,Rush Ny Select,2024-02-05,2,11,--,2024-02-13,SHIPPED
570873,Rush Washington,2024-02-05,3,3,-,2024-02-14,SHIPPED
570878,Rush National Soccer,2024-02-05,3,111,---,2024-02-13,SHIPPED
570989,Rush Vsa,2024-02-06,2,11,--,2024-02-15,SHIPPED
571050,Rush Coaches,2024-02-07,9,9,-,2024-02-15,SHIPPED
571167,Rush Virginia,2024-02-13,2,11,--,2024-02-27,SHIPPED
571251,Rush National Soccer,2024-02-09,1,1,-,2024-02-20,SHIPPED
571294,Rush Iowa,2024-02-09,4,1111,----,2024-02-22,SHIPPED
571408,Rush Coaches,2024-02-12,1,1,-,2024-02-27,SHIPPED
571433,Rush National Soccer,2024-02-12,1,1,-,2024-02-20,SHIPPED
571452,Rush National Soccer,2024-02-13,1,1,-,2024-02-22,SHIPPED
571492,Rush Coaches,2024-02-12,1,1,-,2024-02-21,SHIPPED
571509,Rush National Soccer,2024-02-12,3,111,---,2024-02-21,SHIPPED
571547,Rush Hawaii,2024-02-12,1,1,-,2024-02-19,SHIPPED
571706,Rush Mississippi,2024-02-13,2,2,-,2024-02-19,SHIPPED
571770,Rush National Soccer,2024-02-13,2,11,--,2024-02-23,SHIPPED
571934,Rush Idaho,2024-02-14,1,1,-,2024-02-22,SHIPPED
571951,Rush National Soccer,2024-02-16,3,111,---,2024-02-27,SHIPPED
572021,Rush Phoenix,2024-02-15,1,1,-,2024-02-26,SHIPPED
572023,Rush Colorado,2024-02-15,1,1,-,2024-02-26,SHIPPED
572025,Rush Florida,2024-02-15,3,111,---,2024-02-26,SHIPPED
572378,Rush Coaches,2024-02-19,2,11,--,2024-02-23,SHIPPED
572435,Rush Kansas Wichita,2024-02-19,1,1,-,2024-02-22,SHIPPED
572642,Rush Twin Cities,2024-02-20,3,111,---,2024-02-27,SHIPPED
572756,Rush Pennsylvania,2024-02-21,2,11,--,2024-04-01,SHIPPED
572900,Rush Coaches,2024-02-22,2,11,--,2024-02-27,SHIPPED
572922,Rush National Soccer,2024-02-22,1,1,-,2024-02-28,SHIPPED
573021,Rush National Soccer,2024-02-23,1,1,-,2024-02-28,SHIPPED
573500,Rush National Soccer,2024-02-26,1,1,-,2024-03-04,SHIPPED
573626,Rush National Soccer,2024-02-27,2,11,--,2024-03-07,SHIPPED
574196,Rush National Soccer,2024-03-01,2,11,--,2024-03-05,SHIPPED
574272,Rush Vsa,2024-03-04,11,344,---,2024-03-08,SHIPPED
574284,Rush Vsa,2024-03-04,3,111,---,2024-03-07,SHIPPED
574302,Rush Vsa,2024-03-04,3,3,-,2024-03-07,SHIPPED
574360,Rush Coaches,2024-03-04,8,44,--,2024-03-08,SHIPPED
574410,Rush Iowa,2024-03-04,1,1,-,2024-03-08,SHIPPED
574427,Rush Pennsylvania,2024-03-05,6,111111,------,2024-03-14,SHIPPED
574434,Rush Vsa,2024-03-04,5,5,-,2024-03-07,SHIPPED
574450,Rush Twin Cities,2024-03-04,2,11,--,2024-03-08,SHIPPED
574604,Rush Quad Cities,2024-03-04,6,111111,------,2024-03-08,SHIPPED
574611,Rush National Soccer,2024-03-04,1,1,-,2024-03-07,SHIPPED
574703,Rush Vsa,2024-03-05,3,12,--,2024-04-02,SHIPPED
574719,Rush Kansas Wichita,2024-03-06,3,111,---,2024-03-11,SHIPPED
574795,Rush Pennsylvania,2024-03-06,2,11,--,2024-03-14,SHIPPED
574865,Rush Vsa,2024-03-06,5,1121,----,2024-03-13,SHIPPED
575014,Rush Vsa,2024-03-07,4,1111,----,2024-03-13,SHIPPED
575082,Rush National Soccer,2024-03-07,1,1,-,2024-03-19,SHIPPED
575114,Rush Canada,2024-03-12,1,1,-,2024-03-15,SHIPPED
575204,Rush Coaches,2024-03-08,1,1,-,2024-05-15,SHIPPED
575265,Rush Vsa,2024-03-11,15,441111111,---------,2024-04-05,SHIPPED
575291,Rush Florida,2024-03-11,1,1,-,2024-03-18,SHIPPED
575366,Rush Coaches,2024-03-11,1,1,-,2024-03-19,SHIPPED
575532,Rush United Fc,2024-03-11,2,11,--,2024-03-19,SHIPPED
575666,Rush Twin Cities,2024-03-12,2,11,--,2024-03-18,SHIPPED
575670,Rush Vsa,2024-03-12,1,1,-,2024-03-18,SHIPPED
575743,Rush Twin Cities,2024-03-13,3,111,---,2024-05-08,SHIPPED
575751,Rush Pennsylvania,2024-03-13,2,11,--,2024-04-17,SHIPPED
576001,Rush National Soccer,2024-03-15,2,11,--,2024-03-20,SHIPPED
576002,Rush Coaches,2024-03-15,1,1,-,2024-03-27,SHIPPED
576032,Rush Vsa,2024-03-15,14,1111112111111,-------------,2024-03-26,SHIPPED
576288,Rush Southwest Missouri,2024-03-18,1,1,-,2024-03-25,SHIPPED
576370,Rush Coaches,2024-03-18,2,11,--,2024-03-27,SHIPPED
576386,Rush National Soccer,2024-03-18,3,111,---,2024-03-25,SHIPPED
576505,Rush Vsa,2024-03-19,6,222,---,2024-03-26,SHIPPED
576760,Rush Vsa,2024-03-21,6,2211,----,2024-03-27,SHIPPED
576770,Rush National Soccer,2024-03-25,3,111,---,2024-04-02,SHIPPED
576825,Rush Idaho,2024-03-21,3,111,---,2024-03-27,SHIPPED
576929,Rush Vsa,2024-03-22,3,12,--,2024-03-26,SHIPPED
576959,Rush Vsa,2024-03-22,2,11,--,2024-03-27,SHIPPED
577154,Rush Idaho,2024-03-25,1,1,-,2024-04-02,SHIPPED
577165,Rush National Soccer,2024-03-25,4,1111,----,2024-04-02,SHIPPED
577195,Rush National Soccer,2024-03-25,6,111111,------,2024-04-05,SHIPPED
577196,Rush National Soccer,2024-03-25,3,111,---,2024-04-02,SHIPPED
577237,Rush National Soccer,2024-03-25,1,1,-,2024-04-02,SHIPPED
577267,Rush San Jose,2024-03-25,3,111,---,2024-04-05,SHIPPED
577493,Rush Vsa,2024-03-27,3,111,---,2024-04-03,SHIPPED
577504,Rush Twin Cities,2024-03-27,1,1,-,2024-04-03,SHIPPED
577525,Rush Hawaii,2024-03-28,3,111,---,2024-04-05,SHIPPED
577626,Rush Bluffton,2024-04-03,3,111,---,2024-05-01,SHIPPED
577760,Rush Coaches,2024-04-01,6,111111,------,2024-05-08,SHIPPED
577830,Rush Pennsylvania,2024-04-03,6,111111,------,2024-05-13,SHIPPED
578069,Rush Coaches,2024-04-03,3,111,---,2024-04-11,SHIPPED
578318,Rush Twin Cities,2024-04-07,1,1,-,2024-04-15,SHIPPED
578435,Rush National Soccer,2024-04-08,2,11,--,2024-04-15,SHIPPED
578530,Rush National Soccer,2024-04-10,2,11,--,2024-04-17,SHIPPED
578647,Rush Pikes Peak,2024-04-11,4,4,-,2024-04-17,SHIPPED
