Customer Reference,Club Name,Date Created,Order Quantity,Shipped Quantity,Unshipped Quantity,Shipping Date,Sales Order Header Status
572378,Rush Kansas Wichita,2024-02-19,1,1,-,2024-02-23,SHIPPED
572435,Rush Canada,2024-02-19,1,1,-,2024-02-22,SHIPPED
572642,Rush Twin Cities,2024-02-20,3,111,---,2024-02-27,SHIPPED
572756,Rush Pennsylvania,2024-02-21,1,1,-,2024-03-14,SHIPPED
572756,Rush Victory,2024-02-21,1,1,-,2024-03-14,SHIPPED
572900,Rush Coaches,2024-02-22,1,1,-,2024-02-27,SHIPPED
572900,Rush National Soccer,2024-02-22,1,1,-,2024-02-27,SHIPPED
572922,Rush Missouri,2024-02-22,1,1,-,2024-02-28,SHIPPED
573021,Rush Colorado,2024-02-23,1,1,-,2024-02-28,SHIPPED
573500,Rush North Carolina,2024-02-26,1,1,-,2024-03-04,SHIPPED
573626,Rush National Soccer,2024-02-27,1,1,-,2024-03-07,SHIPPED
573626,Rush Washington,2024-02-27,1,1,-,2024-03-07,SHIPPED
574196,Rush National Soccer,2024-03-01,1,1,-,2024-03-05,SHIPPED
574196,Rush Vsa,2024-03-01,1,1,-,2024-03-05,SHIPPED
574272,Rush Minnesota,2024-03-04,4,4,-,2024-03-08,SHIPPED
574272,Rush Vsa,2024-03-04,7,34,--,2024-03-08,SHIPPED
574284,Rush Vsa,2024-03-04,3,111,---,2024-03-07,SHIPPED
574302,Rush Coaches,2024-03-04,3,3,-,2024-03-07,SHIPPED
574360,Rush Coaches,2024-03-04,4,4,-,2024-03-08,SHIPPED
574360,Rush Iowa,2024-03-04,4,4,-,2024-03-08,SHIPPED
574410,Rush Vsa,2024-03-04,1,1,-,2024-03-08,SHIPPED
574427,Rush Calico Hawks,2024-03-05,1,1,-,2024-03-14,SHIPPED
574427,Rush Pennsylvania,2024-03-05,5,11111,-----,2024-03-14,SHIPPED
574434,Rush Twin Cities,2024-03-04,5,5,-,2024-03-07,SHIPPED
574450,Rush Quad Cities,2024-03-04,1,1,-,2024-03-08,SHIPPED
574450,Rush Twin Cities,2024-03-04,1,1,-,2024-03-08,SHIPPED
574604,Rush National Soccer,2024-03-04,1,1,-,2024-03-08,SHIPPED
574604,Rush Quad Cities,2024-03-04,5,11111,-----,2024-03-08,SHIPPED
574611,Rush Iowa,2024-03-04,1,1,-,2024-03-07,SHIPPED
574703,Rush Delmarva,2024-03-05,2,2,-,2024-04-02,SHIPPED
574703,Rush Vsa,2024-03-05,1,1,-,2024-04-02,SHIPPED
574719,Rush Kansas Wichita,2024-03-06,2,11,--,2024-03-11,SHIPPED
574719,Rush Pennsylvania,2024-03-06,1,1,-,2024-03-11,SHIPPED
574795,Rush Pennsylvania,2024-03-06,1,1,-,2024-03-14,SHIPPED
574795,Rush Vsa,2024-03-06,1,1,-,2024-03-14,SHIPPED
574865,Rush Virginia,2024-03-06,1,1,-,2024-03-13,SHIPPED
574865,Rush Vsa,2024-03-06,4,112,---,2024-03-13,SHIPPED
575014,Rush Mountains,2024-03-07,1,1,-,2024-03-13,SHIPPED
575014,Rush Vsa,2024-03-07,3,111,---,2024-03-13,SHIPPED
575082,Rush West Texas,2024-03-07,1,1,-,2024-03-19,SHIPPED
575114,Rush Canada,2024-03-12,1,1,-,2024-03-15,SHIPPED
575204,Rush Kentucky,2024-03-08,1,1,-,2024-05-15,SHIPPED
575265,Rush Florida,2024-03-11,1,1,-,2024-04-05,SHIPPED
575265,Rush Vsa,2024-03-11,14,44111111,--------,2024-04-05,SHIPPED
575291,Rush Coaches,2024-03-11,1,1,-,2024-03-18,SHIPPED
575366,Rush United Fc,2024-03-11,1,1,-,2024-03-19,SHIPPED
575532,Rush Canada,2024-03-11,1,1,-,2024-03-19,SHIPPED
575532,Rush United Fc,2024-03-11,1,1,-,2024-03-19,SHIPPED
575666,Rush Twin Cities,2024-03-12,1,1,-,2024-03-18,SHIPPED
575666,Rush Vsa,2024-03-12,1,1,-,2024-03-18,SHIPPED
575670,Rush Canada,2024-03-12,1,1,-,2024-03-18,SHIPPED
575743,Rush Pennsylvania,2024-03-13,1,1,-,2024-05-08,SHIPPED
575743,Rush Twin Cities,2024-03-13,2,11,--,2024-05-08,SHIPPED
575751,Rush Iowa,2024-03-13,1,1,-,2024-04-17,SHIPPED
575751,Rush Pennsylvania,2024-03-13,1,1,-,2024-04-17,SHIPPED
