Customer Reference,Club Name,Date Created,Order Quantity,Shipped Quantity,Unshipped Quantity,Shipping Date,Sales Order Header Status
1411043,Rush Nevada,2025-06-15,12.0,12.0,0.0,2025-06-30,SHIPPED
1411047,Rush Colorado North,2025-06-15,13.0,13.0,0.0,2025-06-30,SHIPPED
1411048,Rush Colorado,2025-06-15,13.0,13.0,0.0,2025-06-30,SHIPPED
1411049,Rush Northern Colorado,2025-06-15,5.0,5.0,0.0,2025-07-21,SHIPPED
1411053,Rush Mobile,2025-06-14,7.0,7.0,0.0,2025-07-14,SHIPPED
1411056,Rush Mobile,2025-06-14,7.0,7.0,0.0,2025-07-14,SHIPPED
1411057,Rush Chicago North Shore,2025-06-15,10.0,10.0,0.0,2025-07-30,SHIPPED
1411058,Rush Colorado,2025-06-15,6.0,6.0,0.0,2025-06-30,SHIPPED
1411067,Rush Coastal Perdido,2025-06-15,20.0,20.0,0.0,2025-07-07,SHIPPED
1411068,Rush Mobile,2025-06-14,13.0,13.0,0.0,2025-07-14,SHIPPED
1411069,Rush Maryland,2025-06-15,8.0,0.0,8.0,,OPEN
1411072,Rush Colorado,2025-06-15,9.0,9.0,0.0,2025-06-30,SHIPPED
1411073,Rush Fremont,2025-06-15,12.0,12.0,0.0,2025-06-29,SHIPPED
1411076,Rush Colorado Springs,2025-06-15,12.0,12.0,0.0,2025-06-30,SHIPPED
1411080,Rush Bulls,2025-06-15,7.0,7.0,0.0,2025-06-30,SHIPPED
1411081,Rush Gateway,2025-06-15,11.0,11.0,0.0,2025-06-28,SHIPPED
1411085,Rush Colorado Springs,2025-06-15,14.0,14.0,0.0,2025-06-30,SHIPPED
1411090,Rush Chicago North Shore,2025-06-15,13.0,13.0,0.0,2025-06-29,SHIPPED
1411094,Rush Mobile,2025-06-15,11.0,11.0,0.0,2025-07-08,SHIPPED
1411097,Rush Mountain,2025-06-15,11.0,11.0,0.0,2025-07-10,SHIPPED
1411098,Rush Colorado Springs,2025-06-15,13.0,13.0,0.0,2025-06-30,SHIPPED
1411104,Rush La Krewe Alexandria,2025-06-15,20.0,20.0,0.0,2025-07-29,SHIPPED
1411105,Rush Coastal Perdido,2025-06-15,15.0,15.0,0.0,2025-07-31,SHIPPED
1411107,Rush Gateway,2025-06-15,9.0,9.0,0.0,2025-07-08,SHIPPED
1411109,Rush Mobile,2025-06-15,11.0,11.0,0.0,2025-06-30,SHIPPED
1411118,Rush Pensacola Fc,2025-06-15,24.0,0.0,24.0,,OPEN
1411123,Rush Chicago North Shore,2025-06-15,9.0,9.0,0.0,2025-06-29,SHIPPED
1411134,Rush Kansas,2025-06-15,16.0,16.0,0.0,2025-06-28,SHIPPED
1411139,Rush Colorado,2025-06-15,2.0,0.0,2.0,,OPEN
1411156,Rush Fremont,2025-06-15,12.0,12.0,0.0,2025-06-29,SHIPPED
1411157,Rush Mobile,2025-06-15,10.0,10.0,0.0,2025-06-30,SHIPPED
1411159,Rush Washington,2025-06-15,2.0,2.0,0.0,2025-06-29,SHIPPED
1411163,Rush Northern Colorado,2025-06-15,2.0,2.0,0.0,2025-07-09,SHIPPED
1411168,Rush Idaho,2025-06-15,6.0,0.0,6.0,,OPEN
1411173,Rush Northern Colorado,2025-06-15,6.0,6.0,0.0,2025-07-09,SHIPPED
1411188,Rush California,2025-06-15,11.0,11.0,0.0,2025-06-30,SHIPPED
